Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Emergency PCI,2015-2017,278,6,2.16,3.11,2.07,0.75,4.5,Rate not different than Statewide Rate
0001,Albany Med. Ctr,Capital District,Capital District,All PCI,2017,733,20,2.73,1.46,2.1,1.29,3.25,Rate significantly higher than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,All PCI,2017,297,4,1.35,1.37,1.11,0.3,2.85,Rate not different than Statewide Rate
0746,Bassett Medical Center,Capital District,Capital District,All PCI,2017,568,3,0.53,1.38,0.43,0.09,1.27,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2017,410,8,1.95,1.81,1.22,0.52,2.4,Rate not different than Statewide Rate
1178,BronxCare Health System,Bronx,NY Metro - NYC,All PCI,2017,202,0,0,1.14,0,0,1.8,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2017,209,3,1.44,1.8,0.9,0.18,2.63,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,CABG,2014,100,0,0,1.58,0,0,2.83,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,CABG,2014,201,2,1,0.82,1.48,0.17,5.35,Rate not different than Statewide Rate
1288,Brooklyn Hosp.Downtown,Kings,NY Metro - NYC,All PCI,2017,120,1,0.83,0.94,1,0.01,5.56,Rate not different than Statewide Rate
0207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,All PCI,2017,1455,14,0.96,1.18,0.92,0.5,1.54,Rate not different than Statewide Rate
0977,Cayuga Med Ctr Ithaca,Central NY,Central NY,All PCI,2017,147,4,2.72,1.36,2.27,0.61,5.8,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,All PCI,2014,541,5,0.92,0.99,1.1,0.35,2.56,Rate not different than Statewide Rate
0636,Crouse Hospital,Central NY,Central NY,All PCI,2017,415,10,2.41,1.27,2.14,1.02,3.93,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,Emergency PCI,2012-2014,492,8,1.63,2.32,2.06,0.89,4.06,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,All PCI,2014,217,2,0.92,1.28,0.85,0.1,3.06,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,All PCI,2017,509,11,2.16,1.62,1.51,0.75,2.7,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2017,447,4,0.89,1.16,0.87,0.23,2.22,Rate not different than Statewide Rate
0699,Garnet Health Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2017,646,4,0.62,1.01,0.69,0.19,1.77,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2017,195,1,0.51,1.1,0.52,0.01,2.92,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2017,539,7,1.3,1.43,1.02,0.41,2.11,Rate not different than Statewide Rate
0925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,1232,11,0.89,0.72,1.4,0.7,2.5,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2014,449,8,1.78,1.65,1.27,0.55,2.5,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2014,179,1,0.56,1.49,0.44,0.01,2.45,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,CABG,2014,202,2,0.99,1.32,0.92,0.1,3.32,Rate not different than Statewide Rate
0913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,537,3,0.56,0.96,0.66,0.13,1.93,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2017,280,3,1.07,1.47,0.82,0.17,2.4,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2014,1630,13,0.8,1.08,0.87,0.46,1.49,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2017,1808,8,0.44,0.74,0.68,0.29,1.34,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2014,188,0,0,1.01,0,0,2.28,Rate not different than Statewide Rate
0885,Long Island Comm. Hosp.,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,449,3,0.67,0.95,0.79,0.16,2.32,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2017,680,4,0.59,0.88,0.76,0.2,1.94,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,All PCI,2017,1328,18,1.36,2.1,0.73,0.43,1.15,Rate not different than Statewide Rate
0213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,All PCI,2017,1118,13,1.16,1.04,1.26,0.67,2.16,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,All PCI,2017,1037,8,0.77,1.04,0.84,0.36,1.66,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,All PCI,2017,669,8,1.2,1.69,0.8,0.34,1.57,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,All PCI,2017,1531,11,0.72,0.91,0.89,0.44,1.59,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2017,3333,20,0.6,0.81,0.84,0.51,1.29,Rate not different than Statewide Rate
1469,Mount Sinai Morningside,Manhattan,NY Metro - NYC,All PCI,2017,807,9,1.12,1.67,0.75,0.34,1.43,Rate not different than Statewide Rate
0527,Mount Sinai South Nassau,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,519,4,0.77,1.48,0.59,0.16,1.51,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,All PCI,2017,1108,8,0.72,0.88,0.93,0.4,1.83,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2017,2198,26,1.18,0.98,1.36,0.89,2,Rate not different than Statewide Rate
1122,NYP-Lawrence Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2017,282,2,0.71,1.28,0.62,0.07,2.25,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2014,408,8,1.96,1.87,1.23,0.53,2.43,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,All PCI,2017,676,1,0.15,0.91,0.18,0,1.02,Rate significantly lower than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2014,457,2,0.44,0.96,0.54,0.06,1.94,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,All PCI,2017,934,6,0.64,1.65,0.44,0.16,0.96,Rate significantly lower than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2017,2051,12,0.59,0.56,1.18,0.61,2.06,Rate not different than Statewide Rate
1304,NYU Langone Hosp.-Brooklyn,Kings,NY Metro - NYC,All PCI,2017,266,3,1.13,1.44,0.88,0.18,2.58,Rate not different than Statewide Rate
0511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,1021,11,1.08,1.13,1.07,0.53,1.92,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Emergency PCI,2012-2014,459,21,4.58,3.03,4.44,2.75,6.79,Rate not different than Statewide Rate
0574,Niagara Falls Memorial,Western NY - Buffalo,Western NY - Buffalo,All PCI,2017,85,0,0,0.78,0,0,6.24,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,2452,28,1.14,0.99,1.3,0.87,1.88,Rate not different than Statewide Rate
0066,Olean General Hosp.,Western NY - Buffalo,Western NY - Buffalo,All PCI,2017,173,2,1.16,1.9,0.69,0.08,2.48,Rate not different than Statewide Rate
0938,Peconic Bay Med Ctr,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,20,1,5,0.79,7.12,0.09,39.62,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Concourse,Bronx,NY Metro - NYC,All PCI,2014,96,2,2.08,3.17,0.77,0.09,2.79,Rate not different than Statewide Rate
1738,Richmond Univ Med Cntr,Staten Island,NY Metro - NYC,All PCI,2017,176,1,0.57,1.3,0.49,0.01,2.75,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2017,1281,20,1.56,1.11,1.58,0.97,2.44,Rate not different than Statewide Rate
0756,Samaritan Hospital,Capital District,Capital District,All PCI,2017,223,4,1.79,0.85,2.38,0.64,6.09,Rate not different than Statewide Rate
0818,Saratoga Hospital,Capital District,Capital District,All PCI,2017,128,2,1.56,1.22,1.45,0.16,5.23,Rate not different than Statewide Rate
0889,Southampton Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,25,2,8,3.45,2.62,0.29,9.46,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,CABG,2014,169,0,0,0.88,0,0,3,Rate not different than Statewide Rate
0924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,786,9,1.15,1.04,1.24,0.57,2.36,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2014,1460,17,1.16,0.59,2.33,1.36,3.73,Rate significantly higher than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,CABG,2014,337,5,1.48,0.88,2.05,0.66,4.79,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,All PCI,2017,172,2,1.16,1.04,1.26,0.14,4.55,Rate not different than Statewide Rate
0943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,278,4,1.44,1.24,1.32,0.35,3.37,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2014,295,6,2.03,2.05,1.17,0.43,2.54,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,All PCI,2017,870,18,2.07,1.24,1.88,1.11,2.97,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,2849,25,0.88,0.92,1.08,0.7,1.6,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,All PCI,2017,2015,28,1.39,1.26,1.25,0.83,1.8,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2014,369,6,1.63,1.22,1.57,0.57,3.42,Rate not different than Statewide Rate
0694,St. Lukes Cornwall Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2017,334,7,2.1,1.09,2.16,0.87,4.46,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,CABG,2014,173,4,2.31,1.88,1.5,0.4,3.85,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,All PCI,2017,787,12,1.52,1.08,1.59,0.82,2.78,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2017,877,8,0.91,0.84,1.23,0.53,2.42,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,Emergency PCI,2012-2014,186,7,3.76,2.75,4.02,1.61,8.28,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2017,1277,20,1.57,1.22,1.45,0.88,2.23,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,CABG,2014,395,1,0.25,1.35,0.23,0,1.27,Rate not different than Statewide Rate
0058,UHS-Wilson Med Ctr,Central NY,Central NY,All PCI,2017,707,6,0.85,1.05,0.91,0.33,1.98,Rate not different than Statewide Rate
0135,UVM Health Network CVP,Capital District,Capital District,All PCI,2017,674,7,1.04,1.05,1.11,0.45,2.29,Rate not different than Statewide Rate
0471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,All PCI,2017,294,8,2.72,1.5,2.06,0.89,4.05,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2017,401,8,2,1.73,1.3,0.56,2.56,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Emergency PCI,2012-2014,178,8,4.49,3.19,4.15,1.79,8.18,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,All PCI,2017,1476,26,1.76,1.36,1.46,0.95,2.14,Rate not different than Statewide Rate
1,Albany Medical Center,Capital District,Capital District,Emergency PCI,2008-2010,449,14,3.12,2.52,3.93,2.15,6.59,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Valve or Valve/CABG,2012-2014,491,13,2.65,3.97,2.12,1.13,3.63,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,All PCI,2017,248,15,6.05,1.61,4.24,2.37,7,Rate significantly higher than Statewide Rate
411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2010,1640,16,0.98,0.65,0.77,0.44,1.25,Rate not different than Statewide Rate
630,St. Josephs Hospital,Central NY,Central NY,CABG,2010,506,7,1.38,1.73,1.26,0.51,2.61,Rate not different than Statewide Rate
135,Champ.Valley Phys Hosp,Capital District,Capital District,Valve or Valve/CABG,2008-2010,99,9,9.09,3.49,11.98,5.47,22.74,Rate significantly higher than Statewide Rate
541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2008-2010,939,16,1.7,3.14,1.72,0.98,2.8,Rate significantly lower than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2017,1088,10,0.92,1.56,0.67,0.32,1.23,Rate not different than Statewide Rate
207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,Valve or Valve/CABG,2008-2010,500,18,3.6,3.64,4.54,2.69,7.17,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2012-2014,2008,56,2.79,3.08,2.88,2.18,3.74,Rate not different than Statewide Rate
245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2008-2010,557,38,6.82,6.06,5.17,3.66,7.09,Rate not different than Statewide Rate
925,Good Sam - West Islip,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,602,2,0.33,0.28,0.61,0.07,2.22,Rate not different than Statewide Rate
635,Univ. Hosp-Upstate,Central NY,Central NY,All PCI,2011,273,5,1.83,1.68,1.06,0.34,2.47,Rate not different than Statewide Rate
527,South Nassau Com. Hosp,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2011-2013,383,7,1.83,2.41,2.13,0.85,4.4,Rate not different than Statewide Rate
630,St. Josephs Hospital,Central NY,Central NY,All PCI,2011,2195,20,0.91,0.94,0.94,0.57,1.45,Rate not different than Statewide Rate
5,St. Peters Hospital,Capital District,Capital District,Emergency PCI,2008-2010,562,13,2.31,2.29,3.21,1.71,5.49,Rate not different than Statewide Rate
598,St. Elizabeth Med Ctr,Central NY,Central NY,CABG,2011,209,2,0.96,1.25,0.95,0.11,3.43,Rate not different than Statewide Rate
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Emergency PCI,2011-2013,447,12,2.68,2.8,2.7,1.39,4.71,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,Emergency PCI,2011-2013,895,18,2.01,2.47,2.28,1.35,3.61,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2017,439,11,2.51,1.68,1.68,0.84,3.01,Rate not different than Statewide Rate
635,Univ. Hosp-Upstate,Central NY,Central NY,CABG,2012,148,2,1.35,1.43,1.38,0.16,4.99,Rate not different than Statewide Rate
213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2012,523,4,0.76,0.54,0.91,0.25,2.34,Rate not different than Statewide Rate
977,Cayuga Med Ctr Ithaca,Central NY,Central NY,Emergency PCI,2011-2013,167,4,2.4,2.15,3.12,0.84,8,Rate not different than Statewide Rate
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2013,441,9,2.04,1.06,1.42,0.65,2.7,Rate not different than Statewide Rate
699,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Emergency PCI,2011-2013,341,6,1.76,2,2.47,0.9,5.37,Rate not different than Statewide Rate
135,Champ.Valley Phys Hosp,Capital District,Capital District,Valve or Valve/CABG,2009-2011,75,4,5.33,2.21,10.19,2.74,26.1,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2017,538,11,2.04,1.16,2,1,3.58,Rate not different than Statewide Rate
541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,1683,14,0.83,1.22,0.78,0.43,1.31,Rate not different than Statewide Rate
511,Winthrop-Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2013,852,8,0.94,0.82,0.85,0.37,1.67,Rate not different than Statewide Rate
215,Millard Fillmore Hosp,Western NY - Buffalo,Western NY - Buffalo,All PCI,2010,829,4,0.48,0.89,0.46,0.12,1.17,Rate not different than Statewide Rate
913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,48,1,2.08,0.45,2.37,0.03,13.19,Rate not different than Statewide Rate
1738,Richmond Univ Med Cntr,Staten Island,NY Metro - NYC,All PCI,2014,1,0,0,0.24,0,0,100,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2013,974,13,1.33,1.26,1.21,0.64,2.06,Rate not different than Statewide Rate
210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,CABG,2012,70,0,0,1.11,0,0,6.92,Rate not different than Statewide Rate
58,UHS-Wilson Med Ctr,Central NY,Central NY,Valve or Valve/CABG,2010-2012,248,8,3.23,2.95,4.08,1.76,8.05,Rate not different than Statewide Rate
0001,Albany Med. Ctr,Capital District,Capital District,Non-Emergency PCI,2017,548,13,2.37,1.08,1.72,0.91,2.94,Rate significantly higher than Statewide Rate
943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,301,2,0.66,1.55,0.49,0.06,1.77,Rate not different than Statewide Rate
207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2010,1205,5,0.41,0.44,0.48,0.15,1.11,Rate not different than Statewide Rate
563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,2765,16,0.58,0.61,0.48,0.28,0.79,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Valve or Valve/CABG,2012-2014,210,9,4.29,2.89,4.71,2.15,8.94,Rate not different than Statewide Rate
511,Winthrop Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,993,5,0.5,0.59,0.44,0.14,1.02,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,Valve or Valve/CABG,2008-2010,628,31,4.94,3.79,5.98,4.06,8.48,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,Non-Emergency PCI,2014,109,0,0,0.5,0,0,5.03,Rate not different than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2017,202,0,0,0.7,0,0,2.03,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2010,1005,10,1,1.05,0.8,0.38,1.47,Rate not different than Statewide Rate
636,Crouse Hospital,Central NY,Central NY,All PCI,2012,290,2,0.69,0.94,0.74,0.08,2.66,Rate not different than Statewide Rate
746,M I Bassett Hospital,Capital District,Capital District,Emergency PCI,2010-2012,290,9,3.1,2.1,4.1,1.87,7.79,Rate not different than Statewide Rate
5,St. Peters Hospital,Capital District,Capital District,All PCI,2011,782,9,1.15,1.14,0.98,0.45,1.87,Rate not different than Statewide Rate
977,Cayuga Med Ctr Ithaca,Central NY,Central NY,All PCI,2011,159,2,1.26,1.47,0.83,0.09,3,Rate not different than Statewide Rate
411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,CABG,2011,316,6,1.9,1.42,1.65,0.6,3.6,Rate not different than Statewide Rate
135,Champ.Valley Phys Hosp,Capital District,Capital District,Valve or Valve/CABG,2010-2012,79,2,2.53,1.62,5.83,0.65,21.05,Rate not different than Statewide Rate
0746,Bassett Medical Center,Capital District,Capital District,Non-Emergency PCI,2017,454,2,0.44,0.81,0.42,0.05,1.52,Rate not different than Statewide Rate
598,St. Elizabeth Med Ctr,Central NY,Central NY,All PCI,2010,1043,9,0.86,0.91,0.8,0.36,1.52,Rate not different than Statewide Rate
245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,1413,17,1.2,1.53,0.9,0.52,1.44,Rate not different than Statewide Rate
686,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,528,5,0.95,0.69,1.15,0.37,2.69,Rate not different than Statewide Rate
181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2013,433,2,0.46,0.71,0.48,0.05,1.73,Rate not different than Statewide Rate
213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,All PCI,2012,724,6,0.83,0.96,0.87,0.32,1.89,Rate not different than Statewide Rate
699,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2013,393,1,0.25,0.73,0.26,0,1.43,Rate not different than Statewide Rate
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2012,126,1,0.79,1.57,0.74,0.01,4.11,Rate not different than Statewide Rate
746,M I Bassett Hospital,Capital District,Capital District,Valve or Valve/CABG,2009-2011,105,1,0.95,3.28,1.23,0.02,6.82,Rate not different than Statewide Rate
1,Albany Med. Ctr,Capital District,Capital District,CABG,2013,205,3,1.46,1.8,1.5,0.3,4.37,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2017,325,6,1.85,1.39,1.03,0.38,2.25,Rate not different than Statewide Rate
1178,BronxCare Health System,Bronx,NY Metro - NYC,Non-Emergency PCI,2017,139,0,0,0.59,0,0,3.47,Rate not different than Statewide Rate
207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,Emergency PCI,2010-2012,602,18,2.99,2.37,3.49,2.07,5.51,Rate not different than Statewide Rate
943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,All PCI,2010,236,1,0.42,0.93,0.38,0,2.12,Rate not different than Statewide Rate
0,NYS - All Hospitals,New York State,New York State,Non-Emergency PCI,2013,39391,291,0.74,0.74,0.74,,,Statewide Rate
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Valve or Valve/CABG,2010-2012,107,9,8.41,2.16,14.59,6.66,27.7,Rate significantly higher than Statewide Rate
58,UHS - Wilson Med Ctr,Central NY,Central NY,Non-Emergency PCI,2010,560,2,0.36,0.51,0.36,0.04,1.29,Rate not different than Statewide Rate
471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2011,176,1,0.57,0.63,0.59,0.01,3.26,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,CABG,2013,232,7,3.02,1.88,2.95,1.18,6.08,Rate not different than Statewide Rate
977,Cayuga Med Ctr Ithaca,Central NY,Central NY,Non-Emergency PCI,2011,101,0,0,0.56,0,0,4.27,Rate not different than Statewide Rate
0,NYS - All Hospitals,New York State,New York State,CABG,2012,8142,119,1.46,1.46,1.46,,,Statewide Rate
210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,All PCI,2010,139,1,0.72,1.77,0.34,0,1.9,Rate not different than Statewide Rate
635,Univ. Hosp-Upstate,Central NY,Central NY,CABG,2010,133,1,0.75,1.7,0.7,0.01,3.9,Rate not different than Statewide Rate
213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,Valve or Valve/CABG,2008-2010,345,18,5.22,3.83,6.25,3.7,9.88,Rate not different than Statewide Rate
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Emergency PCI,2008-2010,337,9,2.67,2.43,3.49,1.59,6.62,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2017,136,1,0.74,1.59,0.36,0,2,Rate not different than Statewide Rate
210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,CABG,2010,92,2,2.17,1.27,2.7,0.3,9.76,Rate not different than Statewide Rate
207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,CABG,2012,387,4,1.03,1.34,1.13,0.3,2.9,Rate not different than Statewide Rate
207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2013,1303,12,0.92,0.75,0.91,0.47,1.58,Rate not different than Statewide Rate
563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,CABG,2012,667,6,0.9,1.61,0.82,0.3,1.78,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Non-Emergency PCI,2014,661,6,0.91,0.69,0.98,0.36,2.13,Rate not different than Statewide Rate
635,Univ. Hosp-Upstate,Central NY,Central NY,Non-Emergency PCI,2010,162,3,1.85,0.56,1.69,0.34,4.95,Rate not different than Statewide Rate
207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2012,1451,14,0.96,0.63,0.98,0.54,1.64,Rate not different than Statewide Rate
411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2011,1608,15,0.93,0.91,1,0.56,1.64,Rate not different than Statewide Rate
636,Crouse Hospital,Central NY,Central NY,Non-Emergency PCI,2013,208,1,0.48,0.65,0.54,0.01,3.03,Rate not different than Statewide Rate
1,Albany Medical Center,Capital District,Capital District,All PCI,2010,1191,13,1.09,0.61,1.51,0.8,2.58,Rate not different than Statewide Rate
0,NYS - All Hospitals,New York State,New York State,All PCI,2013,47965,548,1.14,1.14,1.14,,,Statewide Rate
210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2011,74,0,0,0.65,0,0,5,Rate not different than Statewide Rate
